,0
1/22/20,548
1/23/20,643
1/24/20,920
1/25/20,1406
1/26/20,2075
1/27/20,2877
1/28/20,5509
1/29/20,6087
1/30/20,8141
1/31/20,9802
2/1/20,11891
2/2/20,16630
2/3/20,19716
2/4/20,23707
2/5/20,27440
2/6/20,30587
2/7/20,34110
2/8/20,36814
2/9/20,39829
2/10/20,42354
2/11/20,44386
2/12/20,44759
2/13/20,59895
2/14/20,66358
2/15/20,68413
2/16/20,70513
2/17/20,72434
2/18/20,74211
2/19/20,74619
2/20/20,75077
2/21/20,75550
2/22/20,77001
2/23/20,77022
2/24/20,77241
2/25/20,77754
2/26/20,78166
2/27/20,78600
2/28/20,78928
2/29/20,79356
3/1/20,79932
3/2/20,80136
3/3/20,80261
3/4/20,80386
3/5/20,80537
3/6/20,80690
3/7/20,80770
3/8/20,80823
3/9/20,80860
3/10/20,80887
3/11/20,80921
3/12/20,80932
3/13/20,80945
3/14/20,80977
3/15/20,81003
3/16/20,81033
3/17/20,81058
3/18/20,81102
3/19/20,81156
3/20/20,81250
3/21/20,81305
3/22/20,81435
3/23/20,81498
3/24/20,81591
3/25/20,81661
3/26/20,81782
3/27/20,81897
3/28/20,81999
3/29/20,82122
3/30/20,82198
3/31/20,82279
4/1/20,82361
4/2/20,82432
4/3/20,82511
4/4/20,82543
4/5/20,82602
4/6/20,82665
4/7/20,82718
4/8/20,82809
4/9/20,82883
4/10/20,82941
4/11/20,83014
4/12/20,83134
4/13/20,83213
4/14/20,83306
4/15/20,83356
4/16/20,83403
4/17/20,83760
4/18/20,83787
4/19/20,83805
4/20/20,83817
4/21/20,83853
4/22/20,83868
4/23/20,83884
4/24/20,83899
4/25/20,83909
4/26/20,83912
4/27/20,83918
4/28/20,83940
4/29/20,83944
4/30/20,83956
5/1/20,83959
5/2/20,83959
5/3/20,83964
5/4/20,83966
5/5/20,83968
5/6/20,83970
5/7/20,83975
5/8/20,83976
5/9/20,83990
5/10/20,84010
5/11/20,84011
5/12/20,84018
5/13/20,84024
5/14/20,84029
5/15/20,84038
5/16/20,84044
5/17/20,84054
5/18/20,84063
5/19/20,84063
5/20/20,84063
5/21/20,84063
5/22/20,84081
5/23/20,84084
5/24/20,84095
5/25/20,84102
5/26/20,84103
5/27/20,84106
5/28/20,84106
5/29/20,84123
5/30/20,84128
5/31/20,84146
6/1/20,84154
6/2/20,84161
6/3/20,84160
6/4/20,84171
6/5/20,84177
6/6/20,84186
6/7/20,84191
6/8/20,84195
6/9/20,84198
6/10/20,84209
6/11/20,84216
6/12/20,84228
6/13/20,84286
6/14/20,84335
6/15/20,84378
6/16/20,84422
6/17/20,84458
6/18/20,84494
6/19/20,84494
6/20/20,84553
6/21/20,84572
6/22/20,84624
6/23/20,84653
6/24/20,84673
6/25/20,84701
6/26/20,84725
6/27/20,84743
6/28/20,84757
6/29/20,84780
6/30/20,84785
7/1/20,84816
7/2/20,84830
7/3/20,84838
7/4/20,84857
7/5/20,84871
7/6/20,84889
7/7/20,84917
7/8/20,84950
7/9/20,84992
7/10/20,84992
7/11/20,85071
7/12/20,85117
7/13/20,85117
7/14/20,85226
7/15/20,85246
7/16/20,85327
7/17/20,85402
7/18/20,85418
7/19/20,85503
7/20/20,85622
7/21/20,85708
7/22/20,85906
7/23/20,86045
7/24/20,86202
7/25/20,86381
7/26/20,86570
7/27/20,86783
7/28/20,86990
7/29/20,87213
7/30/20,87489
7/31/20,87655
8/1/20,87827
8/2/20,87985
8/3/20,88099
8/4/20,88206
8/5/20,88328
8/6/20,88460
8/7/20,88580
8/8/20,88672
8/9/20,88793
8/10/20,88906
8/11/20,88958
8/12/20,89045
8/13/20,89144
8/14/20,89214
8/15/20,89279
8/16/20,89375
8/17/20,89441
8/18/20,89494
8/19/20,89527
8/20/20,89567
8/21/20,89616
8/22/20,89654
8/23/20,89695
8/24/20,89718
8/25/20,89752
8/26/20,89784
8/27/20,89814
8/28/20,89836
8/29/20,89863
8/30/20,89895
8/31/20,89914
9/1/20,89933
9/2/20,89953
9/3/20,89986
9/4/20,90008
9/5/20,90025
9/6/20,90058
9/7/20,90078
9/8/20,90087
9/9/20,90100
9/10/20,90127
9/11/20,90145
9/12/20,90168
9/13/20,90197
9/14/20,90219
9/15/20,90235
9/16/20,90253
9/17/20,90294
9/18/20,90311
9/19/20,90334
9/20/20,90369
9/21/20,90381
9/22/20,90399
9/23/20,90409
9/24/20,90424
9/25/20,90441
9/26/20,90456
9/27/20,90483
9/28/20,90505
9/29/20,90528
9/30/20,90545
10/1/20,90567
10/2/20,90584
10/3/20,90604
10/4/20,90629
10/5/20,90652
10/6/20,90667
10/7/20,90687
10/8/20,90728
10/9/20,90751
10/10/20,90778
10/11/20,90812
10/12/20,90830
10/13/20,90858
10/14/20,90869
10/15/20,90905
10/16/20,90925
10/17/20,90955
10/18/20,90972
10/19/20,91006
10/20/20,91022
10/21/20,91044
10/22/20,91073
10/23/20,91108
10/24/20,91128
10/25/20,91151
10/26/20,91175
10/27/20,91222
10/28/20,91271
10/29/20,91299
10/30/20,91339
10/31/20,91366
11/1/20,91397
11/2/20,91452
11/3/20,91478
11/4/20,91509
11/5/20,91552
11/6/20,91591
11/7/20,91622
11/8/20,91665
11/9/20,91693
11/10/20,91719
11/11/20,91752
11/12/20,91783
11/13/20,91807
11/14/20,91828
11/15/20,91850
11/16/20,91872
11/17/20,91885
11/18/20,91906
