,0
1/22/20,17
1/23/20,18
1/24/20,26
1/25/20,42
1/26/20,56
1/27/20,82
1/28/20,131
1/29/20,133
1/30/20,171
1/31/20,213
2/1/20,259
2/2/20,361
2/3/20,425
2/4/20,491
2/5/20,563
2/6/20,633
2/7/20,718
2/8/20,805
2/9/20,905
2/10/20,1012
2/11/20,1112
2/12/20,1117
2/13/20,1369
2/14/20,1521
2/15/20,1663
2/16/20,1766
2/17/20,1864
2/18/20,2003
2/19/20,2116
2/20/20,2238
2/21/20,2238
2/22/20,2443
2/23/20,2445
2/24/20,2595
2/25/20,2665
2/26/20,2717
2/27/20,2746
2/28/20,2790
2/29/20,2837
3/1/20,2872
3/2/20,2914
3/3/20,2947
3/4/20,2983
3/5/20,3015
3/6/20,3044
3/7/20,3072
3/8/20,3100
3/9/20,3123
3/10/20,3139
3/11/20,3161
3/12/20,3172
3/13/20,3180
3/14/20,3193
3/15/20,3203
3/16/20,3217
3/17/20,3230
3/18/20,3241
3/19/20,3249
3/20/20,3253
3/21/20,3259
3/22/20,3274
3/23/20,3274
3/24/20,3281
3/25/20,3285
3/26/20,3291
3/27/20,3296
3/28/20,3299
3/29/20,3304
3/30/20,3308
3/31/20,3309
4/1/20,3316
4/2/20,3322
4/3/20,3326
4/4/20,3330
4/5/20,3333
4/6/20,3335
4/7/20,3335
4/8/20,3337
4/9/20,3339
4/10/20,3340
4/11/20,3343
4/12/20,3343
4/13/20,3345
4/14/20,3345
4/15/20,3346
4/16/20,3346
4/17/20,4636
4/18/20,4636
4/19/20,4636
4/20/20,4636
4/21/20,4636
4/22/20,4636
4/23/20,4636
4/24/20,4636
4/25/20,4636
4/26/20,4637
4/27/20,4637
4/28/20,4637
4/29/20,4637
4/30/20,4637
5/1/20,4637
5/2/20,4637
5/3/20,4637
5/4/20,4637
5/5/20,4637
5/6/20,4637
5/7/20,4637
5/8/20,4637
5/9/20,4637
5/10/20,4637
5/11/20,4637
5/12/20,4637
5/13/20,4637
5/14/20,4637
5/15/20,4637
5/16/20,4638
5/17/20,4638
5/18/20,4638
5/19/20,4638
5/20/20,4638
5/21/20,4638
5/22/20,4638
5/23/20,4638
5/24/20,4638
5/25/20,4638
5/26/20,4638
5/27/20,4638
5/28/20,4638
5/29/20,4638
5/30/20,4638
5/31/20,4638
6/1/20,4638
6/2/20,4638
6/3/20,4638
6/4/20,4638
6/5/20,4638
6/6/20,4638
6/7/20,4638
6/8/20,4638
6/9/20,4638
6/10/20,4638
6/11/20,4638
6/12/20,4638
6/13/20,4638
6/14/20,4638
6/15/20,4638
6/16/20,4638
6/17/20,4638
6/18/20,4638
6/19/20,4638
6/20/20,4639
6/21/20,4639
6/22/20,4639
6/23/20,4640
6/24/20,4640
6/25/20,4641
6/26/20,4641
6/27/20,4641
6/28/20,4641
6/29/20,4641
6/30/20,4641
7/1/20,4641
7/2/20,4641
7/3/20,4641
7/4/20,4641
7/5/20,4641
7/6/20,4641
7/7/20,4641
7/8/20,4641
7/9/20,4641
