,0
1/22/20,503
1/23/20,595
1/24/20,858
1/25/20,1325
1/26/20,1970
1/27/20,2737
1/28/20,5277
1/29/20,5834
1/30/20,7835
1/31/20,9375
2/1/20,11357
2/2/20,15806
2/3/20,18677
2/4/20,22373
2/5/20,25762
2/6/20,28477
2/7/20,31393
2/8/20,33413
2/9/20,35705
2/10/20,37424
2/11/20,38638
2/12/20,38560
2/13/20,52309
2/14/20,56860
2/15/20,57452
2/16/20,57992
2/17/20,58108
2/18/20,58002
2/19/20,56541
2/20/20,54825
2/21/20,54608
2/22/20,51859
2/23/20,51390
2/24/20,49631
2/25/20,47413
2/26/20,45365
2/27/20,42924
2/28/20,39809
2/29/20,37199
3/1/20,34898
3/2/20,32368
3/3/20,29864
3/4/20,27402
3/5/20,25230
3/6/20,23702
3/7/20,22159
3/8/20,20335
3/9/20,18933
3/10/20,17567
3/11/20,16116
3/12/20,14859
3/13/20,13569
3/14/20,12124
3/15/20,10783
3/16/20,9906
3/17/20,9030
3/18/20,8106
3/19/20,7372
3/20/20,6731
3/21/20,6189
3/22/20,5799
3/23/20,5410
3/24/20,5030
3/25/20,4603
3/26/20,4310
3/27/20,3881
3/28/20,3600
3/29/20,3236
3/30/20,2967
3/31/20,2764
4/1/20,2640
4/2/20,2545
4/3/20,2425
4/4/20,2267
4/5/20,2062
4/6/20,2020
4/7/20,1973
4/8/20,1905
4/9/20,1865
4/10/20,1810
4/11/20,1794
4/12/20,1835
4/13/20,1829
4/14/20,1761
4/15/20,1699
4/16/20,1656
4/17/20,1572
4/18/20,1537
4/19/20,1479
4/20/20,1436
4/21/20,1418
4/22/20,1371
4/23/20,1265
4/24/20,1154
4/25/20,1098
4/26/20,998
4/27/20,907
4/28/20,881
4/29/20,833
4/30/20,796
5/1/20,749
5/2/20,736
5/3/20,643
5/4/20,537
5/5/20,461
5/6/20,404
5/7/20,361
5/8/20,346
5/9/20,226
5/10/20,206
5/11/20,176
5/12/20,159
5/13/20,141
5/14/20,131
5/15/20,120
5/16/20,113
5/17/20,110
5/18/20,115
5/19/20,115
5/20/20,115
5/21/20,115
5/22/20,111
5/23/20,111
5/24/20,114
5/25/20,112
5/26/20,107
5/27/20,101
5/28/20,97
5/29/20,103
5/30/20,104
5/31/20,119
6/1/20,118
6/2/20,123
6/3/20,118
6/4/20,118
6/5/20,119
6/6/20,124
6/7/20,119
6/8/20,113
6/9/20,109
6/10/20,115
6/11/20,114
6/12/20,118
6/13/20,173
6/14/20,215
6/15/20,251
6/16/20,291
6/17/20,310
6/18/20,341
6/19/20,341
6/20/20,380
6/21/20,398
6/22/20,438
6/23/20,458
6/24/20,471
6/25/20,488
6/26/20,504
6/27/20,511
6/28/20,507
6/29/20,520
6/30/20,512
7/1/20,525
7/2/20,524
7/3/20,517
7/4/20,510
7/5/20,512
7/6/20,523
7/7/20,522
7/8/20,507
7/9/20,549
7/10/20,549
7/11/20,554
7/12/20,569
7/13/20,569
7/14/20,617
7/15/20,597
7/16/20,645
7/17/20,693
7/18/20,680
7/19/20,720
7/20/20,814
7/21/20,856
7/22/20,1014
7/23/20,1099
7/24/20,1211
7/25/20,1320
7/26/20,1459
7/27/20,1661
7/28/20,1816
7/29/20,1961
7/30/20,2150
7/31/20,2207
8/1/20,2253
8/2/20,2298
8/3/20,2314
8/4/20,2296
8/5/20,2234
8/6/20,2188
8/7/20,2111
8/8/20,2022
8/9/20,1982
8/10/20,1970
8/11/20,1825
8/12/20,1715
8/13/20,1640
8/14/20,1557
8/15/20,1468
8/16/20,1472
8/17/20,1455
8/18/20,1381
8/19/20,1255
8/20/20,1195
8/21/20,1114
8/22/20,1019
8/23/20,996
8/24/20,949
8/25/20,872
8/26/20,820
8/27/20,764
8/28/20,699
8/29/20,658
8/30/20,627
8/31/20,597
9/1/20,557
9/2/20,531
9/3/20,521
9/4/20,498
9/5/20,460
9/6/20,455
9/7/20,446
9/8/20,422
9/9/20,410
9/10/20,389
9/11/20,387
9/12/20,380
9/13/20,377
9/14/20,383
9/15/20,370
9/16/20,362
9/17/20,377
9/18/20,370
9/19/20,371
9/20/20,393
9/21/20,387
9/22/20,387
9/23/20,367
9/24/20,363
9/25/20,359
9/26/20,357
9/27/20,363
9/28/20,368
9/29/20,366
9/30/20,346
10/1/20,349
10/2/20,351
10/3/20,354
10/4/20,360
10/5/20,373
10/6/20,362
10/7/20,360
10/8/20,377
10/9/20,371
10/10/20,381
10/11/20,404
10/12/20,401
10/13/20,412
10/14/20,410
10/15/20,423
10/16/20,424
10/17/20,425
10/18/20,414
10/19/20,427
10/20/20,410
10/21/20,406
10/22/20,405
10/23/20,419
10/24/20,415
10/25/20,410
10/26/20,418
10/27/20,452
10/28/20,483
10/29/20,478
10/30/20,489
10/31/20,492
11/1/20,496
11/2/20,524
11/3/20,527
11/4/20,528
11/5/20,547
11/6/20,549
11/7/20,537
11/8/20,555
11/9/20,559
11/10/20,556
11/11/20,559
11/12/20,553
11/13/20,547
11/14/20,543
11/15/20,536
11/16/20,514
11/17/20,476
11/18/20,464
11/19/20,466
11/20/20,484
11/21/20,526
11/22/20,582
11/23/20,653
11/24/20,707
11/25/20,772
11/26/20,846
11/27/20,907
11/28/20,970
11/29/20,1073
11/30/20,1142
12/1/20,1199
12/2/20,1268
12/3/20,1329
12/4/20,1398
12/5/20,1462
12/6/20,1500
12/7/20,1520
12/8/20,1553
12/9/20,1568
12/10/20,1570
12/11/20,1561
12/12/20,1524
12/13/20,1536
12/14/20,1551
12/15/20,1569
12/16/20,1543
12/17/20,1546
12/18/20,1520
12/19/20,1524
12/20/20,1505
12/21/20,1524
12/22/20,1499
12/23/20,1427
12/24/20,1409
12/25/20,1360
12/26/20,1348
12/27/20,1343
12/28/20,1359
12/29/20,1323
12/30/20,1282
12/31/20,1258
1/1/21,1210
1/2/21,1203
1/3/21,1217
1/4/21,1246
1/5/21,1217
1/6/21,1210
1/7/21,1218
1/8/21,1230
1/9/21,1269
1/10/21,1335
1/11/21,1355
1/12/21,1444
1/13/21,1526
1/14/21,1626
1/15/21,1720
1/16/21,1820
1/17/21,1937
1/18/21,2103
1/19/21,2201
1/20/21,2361
1/21/21,2601
1/22/21,2557
1/23/21,2635
1/24/21,2734
1/25/21,2820
1/26/21,2812
1/27/21,2768
1/28/21,2710
1/29/21,2713
1/30/21,2531
1/31/21,2467
2/1/21,2418
2/2/21,2297
2/3/21,2125
2/4/21,1987
2/5/21,1890
2/6/21,1774
2/7/21,1684
2/8/21,1624
2/9/21,1504
2/10/21,1381
2/11/21,1287
2/12/21,1195
2/13/21,1108
2/14/21,1042
2/15/21,999
2/16/21,933
2/17/21,873
2/18/21,817
2/19/21,762
2/20/21,713
2/21/21,684
2/22/21,658
2/23/21,643
2/24/21,536
2/25/21,499
2/26/21,490
2/27/21,485
2/28/21,481
3/1/21,473
3/2/21,456
3/3/21,446
3/4/21,440
3/5/21,435
3/6/21,424
3/7/21,443
3/8/21,442
3/9/21,434
3/10/21,432
3/11/21,435
3/12/21,481
3/13/21,499
3/14/21,499
3/15/21,522
3/16/21,517
3/17/21,498
3/18/21,488
3/19/21,486
3/20/21,471
3/21/21,463
3/22/21,452
3/23/21,428
3/24/21,417
3/25/21,393
3/26/21,372
3/27/21,370
3/28/21,357
3/29/21,347
3/30/21,351
3/31/21,354
4/1/21,355
4/2/21,375
4/3/21,375
4/4/21,401
4/5/21,418
4/6/21,419
4/7/21,437
4/8/21,450
4/9/21,454
4/10/21,455
4/11/21,464
4/12/21,467
4/13/21,471
4/14/21,464
4/15/21,463
4/16/21,483
4/17/21,501
4/18/21,520
4/19/21,524
4/20/21,513
4/21/21,497
4/22/21,499
4/23/21,498
4/24/21,489
4/25/21,484
4/26/21,484
4/27/21,477
4/28/21,478
4/29/21,485
4/30/21,474
5/1/21,465
5/2/21,452
5/3/21,454
5/4/21,448
5/5/21,438
5/6/21,428
5/7/21,418
5/8/21,410
5/9/21,402
5/10/21,407
5/11/21,401
5/12/21,390
5/13/21,381
5/14/21,371
5/15/21,380
5/16/21,381
5/17/21,380
5/18/21,378
5/19/21,373
5/20/21,380
5/21/21,387
5/22/21,386
5/23/21,395
5/24/21,388
5/25/21,387
5/26/21,394
5/27/21,379
5/28/21,376
5/29/21,377
5/30/21,385
5/31/21,398
6/1/21,411
6/2/21,428
6/3/21,435
6/4/21,448
6/5/21,450
6/6/21,467
6/7/21,480
6/8/21,487
6/9/21,492
6/10/21,501
6/11/21,518
6/12/21,532
6/13/21,541
6/14/21,552
6/15/21,558
6/16/21,562
6/17/21,570
6/18/21,571
6/19/21,575
6/20/21,583
6/21/21,577
6/22/21,584
6/23/21,563
6/24/21,562
6/25/21,553
6/26/21,541
6/27/21,547
6/28/21,546
6/29/21,540
6/30/21,523
7/1/21,524
7/2/21,528
7/3/21,526
7/4/21,527
7/5/21,515
7/6/21,551
7/7/21,539
7/8/21,541
7/9/21,552
7/10/21,582
7/11/21,564
7/12/21,571
7/13/21,578
7/14/21,582
7/15/21,606
7/16/21,607
7/17/21,613
7/18/21,631
7/19/21,670
