,0
1/22/20,28
1/23/20,30
1/24/20,36
1/25/20,39
1/26/20,49
1/27/20,58
1/28/20,101
1/29/20,120
1/30/20,135
1/31/20,214
2/1/20,275
2/2/20,463
2/3/20,614
2/4/20,843
2/5/20,1115
2/6/20,1477
2/7/20,1999
2/8/20,2596
2/9/20,3219
2/10/20,3918
2/11/20,4636
2/12/20,5082
2/13/20,6217
2/14/20,7977
2/15/20,9298
2/16/20,10755
2/17/20,12462
2/18/20,14206
2/19/20,15962
2/20/20,18014
2/21/20,18704
2/22/20,22699
2/23/20,23187
2/24/20,25015
2/25/20,27676
2/26/20,30084
2/27/20,32930
2/28/20,36329
2/29/20,39320
3/1/20,42162
3/2/20,44854
3/3/20,47450
3/4/20,50001
3/5/20,52292
3/6/20,53944
3/7/20,55539
3/8/20,57388
3/9/20,58804
3/10/20,60181
3/11/20,61644
3/12/20,62901
3/13/20,64196
3/14/20,65660
3/15/20,67017
3/16/20,67910
3/17/20,68798
3/18/20,69755
3/19/20,70535
3/20/20,71266
3/21/20,71857
3/22/20,72362
3/23/20,72814
3/24/20,73280
3/25/20,73773
3/26/20,74181
3/27/20,74720
3/28/20,75100
3/29/20,75582
3/30/20,75923
3/31/20,76206
4/1/20,76405
4/2/20,76565
4/3/20,76760
4/4/20,76946
4/5/20,77207
4/6/20,77310
4/7/20,77410
4/8/20,77567
4/9/20,77679
4/10/20,77791
4/11/20,77877
4/12/20,77956
4/13/20,78039
4/14/20,78200
4/15/20,78311
4/16/20,78401
4/17/20,77552
4/18/20,77614
4/19/20,77690
4/20/20,77745
4/21/20,77799
4/22/20,77861
4/23/20,77983
4/24/20,78109
4/25/20,78175
4/26/20,78277
4/27/20,78374
4/28/20,78422
4/29/20,78474
4/30/20,78523
5/1/20,78573
5/2/20,78586
5/3/20,78684
5/4/20,78792
5/5/20,78870
5/6/20,78929
5/7/20,78977
5/8/20,78993
5/9/20,79127
5/10/20,79167
5/11/20,79198
5/12/20,79222
5/13/20,79246
5/14/20,79261
5/15/20,79281
5/16/20,79293
5/17/20,79306
5/18/20,79310
5/19/20,79310
5/20/20,79310
5/21/20,79310
5/22/20,79332
5/23/20,79335
5/24/20,79343
5/25/20,79352
5/26/20,79358
5/27/20,79367
5/28/20,79371
5/29/20,79382
5/30/20,79386
5/31/20,79389
6/1/20,79398
6/2/20,79400
6/3/20,79404
6/4/20,79415
6/5/20,79420
6/6/20,79424
6/7/20,79434
6/8/20,79444
6/9/20,79451
6/10/20,79456
6/11/20,79464
6/12/20,79472
6/13/20,79475
6/14/20,79482
6/15/20,79489
6/16/20,79493
6/17/20,79510
6/18/20,79515
6/19/20,79515
6/20/20,79534
6/21/20,79535
6/22/20,79547
6/23/20,79555
6/24/20,79562
6/25/20,79572
6/26/20,79580
6/27/20,79591
6/28/20,79609
6/29/20,79619
6/30/20,79632
7/1/20,79650
7/2/20,79665
7/3/20,79680
7/4/20,79706
7/5/20,79718
7/6/20,79725
7/7/20,79754
7/8/20,79802
7/9/20,79802
7/10/20,79802
7/11/20,79876
7/12/20,79907
7/13/20,79907
7/14/20,79967
7/15/20,80005
