,0
0,45
1,48
2,62
3,81
4,105
5,140
6,232
7,253
8,306
9,427
10,534
11,824
12,1039
13,1334
14,1678
15,2110
16,2717
17,3401
18,4124
19,4930
20,5748
21,6199
22,7586
23,9498
24,10961
25,12521
26,14326
27,16209
28,18078
29,20252
30,20942
31,25142
32,25632
33,27610
34,30341
35,32801
36,35676
37,39119
38,42157
39,45034
40,47768
41,50397
42,52984
43,55307
44,56988
45,58611
46,60488
47,61927
48,63320
49,64805
50,66073
51,67376
52,68853
53,70220
54,71127
55,72028
56,72996
57,73784
58,74519
59,75116
60,75636
61,76088
62,76561
63,77058
64,77472
65,78016
66,78399
67,78886
68,79231
69,79515
70,79721
71,79887
72,80086
73,80276
74,80540
75,80645
76,80745
77,80904
78,81018
79,81131
80,81220
81,81299
82,81384
83,81545
84,81657
85,81747
86,82188
87,82250
88,82326
89,82381
90,82435
91,82497
92,82619
93,82745
94,82811
95,82914
96,83011
97,83059
98,83111
99,83160
100,83210
101,83223
102,83321
103,83429
104,83507
105,83566
106,83614
107,83630
108,83764
109,83804
110,83835
111,83859
112,83883
113,83898
114,83918
115,83931
116,83944
117,83948
118,83948
119,83948
120,83948
121,83970
122,83973
123,83981
124,83990
125,83996
126,84005
127,84009
128,84020
129,84024
130,84027
131,84036
132,84038
133,84042
134,84053
135,84058
136,84062
137,84072
138,84082
139,84089
140,84094
141,84102
142,84110
143,84113
144,84120
145,84127
146,84131
147,84148
148,84153
149,84153
150,84173
151,84174
152,84186
153,84195
154,84202
155,84213
156,84221
157,84232
158,84250
159,84260
160,84273
161,84291
162,84306
163,84321
164,84347
165,84359
166,84366
167,84395
168,84443
169,84443
170,84443
171,84517
172,84548
173,84548
174,84609
175,84649
176,84682
177,84709
178,84738
179,84783
180,84808
181,84852
182,84892
183,84946
184,84991
185,85061
186,85111
187,85122
188,85174
189,85252
190,85339
191,85448
192,85574
193,85687
194,85785
195,85910
196,86094
197,86272
198,86469
199,86650
200,86811
201,86936
202,87133
203,87330
204,87504
205,87657
206,87811
207,87903
208,87986
209,88113
210,88272
211,88372
212,88502
213,88635
214,88699
215,88769
216,88880
217,88964
218,89050
219,89137
220,89205
221,89268
222,89317
223,89376
224,89422
225,89465
226,89510
227,89565
228,89603
229,89632
230,89665
231,89690
232,89738
233,89758
234,89788
235,89820
236,89836
237,89865
238,89891
239,89917
240,89941
241,89963
242,89976
243,89994
244,90012
245,90042
246,90061
247,90082
248,90099
249,90120
250,90137
251,90162
252,90199
253,90218
254,90233
255,90250
256,90269
257,90279
258,90305
259,90327
260,90351
261,90380
262,90397
263,90408
264,90429
265,90446
266,90459
267,90482
268,90501
269,90530
270,90558
271,90579
272,90612
273,90638
274,90668
275,90689
276,90713
277,90741
278,90757
279,90770
280,90788
281,90821
282,90850
283,90874
284,90901
285,90928
286,90951
287,90981
288,91005
289,91042
290,91085
291,91110
292,91134
293,91163
294,91193
295,91230
296,91260
297,91285
298,91314
299,91358
300,91409
301,91442
302,91469
303,91493
304,91511
305,91534
306,91558
307,91589
308,91630
309,91642
310,91679
311,91711
312,91741
313,91760
314,91794
315,91845
316,91892
317,91950
318,92005
319,92077
320,92150
321,92229
322,92330
323,92455
324,92563
325,92693
326,92792
327,92876
328,92968
329,93083
330,93188
331,93301
332,93429
333,93545
334,93626
335,93729
336,93871
337,93974
338,94100
339,94193
340,94289
341,94361
342,94474
343,94594
344,94705
345,94813
346,94883
347,94943
348,95000
349,95093
350,95188
351,95266
352,95332
353,95421
354,95489
355,95565
356,95651
357,95749
358,95822
359,95896
360,95955
361,96002
362,96061
363,96122
364,96183
365,96185
366,96329
367,96412
368,96513
369,96582
370,96729
371,96887
372,97036
373,97135
374,97437
375,97596
376,97709
377,97880
378,98101
379,98281
380,98428
381,98574
382,98705
383,98811
384,98971
385,99113
386,99240
387,99364
388,99470
389,99557
390,99625
391,99706
392,99793
393,99867
394,99943
395,100014
396,100074
397,100126
398,100165
399,100296
400,100352
401,100395
402,100439
403,100484
404,100517
405,100557
406,100591
407,100615
408,100641
409,100673
410,100689
411,100707
412,100741
413,100762
414,100790
415,100811
416,100850
417,100879
418,100899
419,100926
420,100962
421,100993
422,101012
423,101047
424,101070
425,101108
426,101154
427,101186
428,101230
429,101274
430,101293
431,101319
432,101345
433,101359
434,101378
435,101399
436,101424
437,101446
438,101460
439,101483
440,101501
441,101516
442,101534
443,101558
444,101572
445,101592
446,101611
447,101632
448,101654
449,101672
450,101684
451,101700
452,101722
453,101740
454,101780
455,101803
456,101834
457,101853
458,101878
459,101900
460,101915
461,101942
462,101968
463,101989
464,102020
465,102052
466,102078
467,102095
468,102112
469,102133
470,102158
471,102178
472,102203
473,102223
474,102236
475,102259
476,102281
477,102300
478,102325
479,102337
480,102365
481,102389
482,102406
483,102424
484,102442
485,102446
486,102467
487,102478
488,102502
489,102518
490,102531
491,102553
492,102572
493,102583
494,102602
495,102616
496,102634
497,102641
498,102659
499,102671
500,102700
501,102709
502,102736
503,102748
504,102769
505,102784
506,102802
507,102825
508,102839
509,102849
510,102866
511,102882
512,102897
513,102930
514,102950
515,102960
516,102994
517,103018
518,103057
519,103089
520,103127
521,103155
522,103177
523,103199
524,103215
525,103246
526,103267
527,103297
528,103315
529,103339
530,103375
531,103397
532,103427
533,103451
534,103467
535,103438
536,103508
537,103530
538,103548
539,103575
540,103587
541,103617
542,103644
543,103659
544,103685
