,x_mean1,x_mean2,x_mean3
testing_policy,0.5439497716894977,1.0,1.0
contact_tracing,1.0,1.0,1.0
vaccination_policy,0.0,0.08969696969696968,0.21333333333333335
debt_relief,0.017123287671232876,0.7102272727272727,1.0
facial_coverings,0.7414383561643836,0.6646780303030302,0.891666666666667
income_support,0.017123287671232876,0.5,0.5
restrictions_internal_movements,0.9827625570776257,0.935132575757576,0.891666666666667
international_travel_controls,0.234931506849315,0.75,0.75
public_information_campaigns,1.0,1.0,1.0
cancel_public_events,1.0,1.0,1.0
restriction_gatherings,1.0,1.0,1.0
close_public_transport,0.98162100456621,0.9158143939393941,0.891666666666667
school_closures,0.9242009132420091,0.7787878787878788,0.9333333333333336
stay_home_requirements,0.8850456621004564,0.9006313131313134,0.855555555555556
workplace_closures,0.9340943683409438,0.8340909090909089,0.6666666666666663
