,beta,gamma
0,0.5075110196655743,0.19191976898148028
1,0.4948505163939642,0.18256764792593266
2,0.4860835150782874,0.17623551088894523
3,0.3511711783530097,0.08627039727965286
4,0.34889242216098987,0.08485178810266791
5,0.3477541136930595,0.08411040786993051
6,0.34604710781389003,0.08308878070720105
7,0.3445672058659629,0.08221700958133626
8,0.34342001685899315,0.08154109084156619
9,0.3424423991135913,0.08096856169772965
10,0.3417216760655354,0.08053818501325866
11,0.34139697070649216,0.08031276841127416
12,0.3412431650004978,0.08017677221825265
13,0.34116090810590716,0.08007953025510373
14,0.3411982529042994,0.08004448251895085
15,0.341343236996561,0.08006373074477457
16,0.34157981328203174,0.08012998178834063
17,0.3418554645981381,0.08021782377196146
18,0.34207922344269637,0.08028252372149863
19,0.34227669115112563,0.08033627309606489
20,0.34250135904866275,0.0804052445990997
21,0.34270654516330856,0.08046706552014282
22,0.34290239379678567,0.08052589026248674
23,0.3431067376362138,0.08059103690120994
24,0.3433071042820099,0.08065600278908491
25,0.3435133641787152,0.08072584569023095
26,0.34374221916241254,0.0808097407786787
27,0.3439874039126249,0.08090431321678626
28,0.3442164561033264,0.08099257257008141
29,0.3444358123513488,0.08107733902416242
30,0.344652637558452,0.08116260744194004
31,0.34485876137312677,0.08124365500241026
32,0.34505229656477326,0.08131954561382826
33,0.34523184222327,0.081389227517077
34,0.34539350792881784,0.08145034773885707
35,0.3455420546858674,0.08150475942790503
36,0.3456791506535587,0.08155378680448727
37,0.3458083388462209,0.08159989584983535
38,0.3459275126222846,0.0816410608445245
39,0.3460434105720702,0.08168114266231269
40,0.3461518634053421,0.08171787464831043
41,0.34625655017566137,0.08175354330848567
42,0.3463563057442951,0.08178691315542297
43,0.34645029769544944,0.08181751467672144
44,0.3465374797844356,0.08184466270291668
45,0.34661773956941433,0.081868576724272
46,0.346693219271776,0.08189011888785036
47,0.3467654516490787,0.0819102120534021
48,0.3468358030478265,0.08192972465110976
49,0.3469014574920851,0.08194699605900163
50,0.3469633937418858,0.08196243292831473
51,0.34702283846011683,0.08197653115859255
52,0.34707830390720784,0.08198931692816541
53,0.3471316696782416,0.08200108774835624
54,0.34718278879943776,0.08201170819230608
55,0.3472312958404824,0.08202088564513982
56,0.3472774173552102,0.08202923650378774
57,0.347322568938252,0.08203729776784885
58,0.3473661443318483,0.0820451459815768
59,0.3474093863691889,0.08205269961018274
60,0.34745140371861427,0.08206019012153815
61,0.3474924534680106,0.08206748102354139
62,0.34753268122456943,0.0820747065189163
63,0.3475721926984344,0.08208180784365393
64,0.3476107420773532,0.08208868771574229
65,0.34764864492675474,0.08209551887410649
66,0.34768623680134536,0.0821025655145815
67,0.3477235527388061,0.0821098204664274
68,0.34776001918082106,0.08211705978131606
69,0.3477965650043645,0.08212441072952031
70,0.3478324842644003,0.08213187337370631
71,0.3478676641252584,0.08213922448431554
72,0.34790230068756134,0.08214653216428919
73,0.3479362241634601,0.08215378126635947
74,0.34796952617985244,0.08216097297184954
75,0.34800250728059845,0.08216803710087861
76,0.3480349690202924,0.08217516199651209
77,0.34806704992362375,0.08218235464949536
78,0.3480987721628883,0.08218953657929462
79,0.34812956873049067,0.0821966923100319
80,0.3481604802298074,0.08220374015861065
81,0.3481903611429855,0.0822106944364186
82,0.34822068273722956,0.0822176458715716
83,0.348249584758886,0.08222452292603494
84,0.34827827690628577,0.082231293174656
85,0.34830648520010243,0.08223794536043627
86,0.34833424689220327,0.08224448986880939
87,0.34836151055929954,0.08225091610666307
88,0.34838830424505907,0.08225723765810122
89,0.3484148953454397,0.08226343396437497
90,0.34844070717034176,0.08226954354729288
91,0.34846592912107166,0.0822755093553203
92,0.3484909769451707,0.08228141549326162
93,0.3485158917623591,0.08228718300410287
94,0.34854039257890923,0.08229285198121095
95,0.34856345591121074,0.08229845608634273
96,0.34858714977571487,0.08230396416591929
97,0.34861003801933504,0.08230937043225095
98,0.34863245991962644,0.08231469894762755
99,0.34865484791330714,0.08231995387782043
100,0.3486767188959805,0.08232510891901884
101,0.3486983299019792,0.0823302017096399
102,0.3487195790863504,0.0823352061957967
103,0.3487403878130211,0.0823401253943416
104,0.3487610006974077,0.0823449837082858
105,0.3487817010802071,0.08234973147048175
106,0.34880176925725537,0.08235441550559897
107,0.34882096964582654,0.08235906179008601
108,0.3488407026031811,0.08236361833356914
109,0.3488599015295676,0.08236813004653226
110,0.34887869964087664,0.08237254400526772
111,0.3488970402841584,0.0823769205806979
112,0.348915356676449,0.08238123834384692
113,0.34893359297230453,0.08238546820290671
114,0.3489513956327316,0.0823896639497187
115,0.34896893175822596,0.08239378563966482
116,0.3489862867421193,0.08239784718943072
117,0.3490035108556183,0.08240185187381083
118,0.34902030313675736,0.08240580068102127
119,0.34903685658591965,0.08240969301301981
120,0.34905316661974073,0.08241352996211204
121,0.34906929286288546,0.08241731278767739
122,0.34908517439593534,0.082421044859957
123,0.3491008447473905,0.08242472916988258
124,0.34911632104089285,0.08242836194179648
125,0.3491315910763302,0.08243194729337561
126,0.3491466670395586,0.08243548429272096
127,0.34916153741283934,0.08243897621158819
128,0.3491762232656189,0.08244242329861706
129,0.34919072645009686,0.08244582688504343
130,0.3492050282764385,0.08244918846886184
131,0.3492191710523306,0.08245250765973344
132,0.3492334544879847,0.08245577025901757
133,0.3492472666886933,0.08245900778965742
134,0.34926084151995784,0.08246221058684755
135,0.34927429157163037,0.08246537204818077
136,0.34928752481449166,0.08246849855135363
137,0.3493005842478448,0.08247158898107965
138,0.3493135966877682,0.08247463757187445
139,0.349326403420396,0.08247765257736805
140,0.34933897293706184,0.08248063652616477
0,0.5415179549625627,0.46109916605601625
1,0.5513687758094132,0.46985285843240615
2,0.557146735037169,0.4749516036775179
3,0.5605125755747484,0.4779030966680158
4,0.5634167335236056,0.4804366391589706
5,0.5670169528851975,0.48356421142110434
6,0.569773962020531,0.48594775214900476
7,0.5723203642174518,0.4881399932210055
8,0.5748995647414318,0.4903515078008276
9,0.5764693066832692,0.49169193719024556
10,0.5776364547915819,0.4926848035722132
11,0.5788587868646102,0.49372204624782867
12,0.5798471303165557,0.49455800929889926
13,0.5807148989445471,0.49529022785477056
14,0.5815810819878309,0.49601957452185497
15,0.5822876703926212,0.49661294236426445
16,0.5827831587848522,0.49702924182661096
17,0.5830905908735302,0.4972891468418134
18,0.583357203287463,0.4975146787052876
19,0.5834475383510137,0.4975916446972379
20,0.583469378395206,0.4976161156748929
21,0.5833947510245476,0.49756217334563463
22,0.5833463256431887,0.49752857531338707
23,0.5831820429630314,0.49740308217957396
24,0.5828370030782338,0.4971256456982235
25,0.5826122555377015,0.4969526592488796
26,0.5822768661487814,0.49668369078498864
27,0.5819988628186809,0.4964653467756813
28,0.5816976131525118,0.4962309286624549
29,0.5812846663456319,0.4959014576287123
30,0.5808975756109955,0.4955970375880514
31,0.5804613048009573,0.49525317925257784
32,0.5800469307816875,0.4949276513964237
33,0.5796409062042229,0.4946100487909722
34,0.5791536817033694,0.4942249493413143
35,0.578737720932601,0.49390124544812064
36,0.5782933414695373,0.4935533897178855
37,0.5778005056959166,0.4931676015416992
38,0.577331199006826,0.49280091957102984
39,0.5768806224317278,0.49245004736052184
40,0.5764811668319281,0.49214082188264024
41,0.576091233980252,0.49183746944138873
42,0.5757267076998134,0.49155534048296967
43,0.5753761591098798,0.4912846619424252
44,0.575034423535049,0.491021283507699
45,0.5747012060658646,0.4907645463103868
46,0.5743841591025575,0.4905209423508411
47,0.5741090081463613,0.49031030936801434
48,0.5738420574399574,0.4901062208476902
49,0.5735858017348086,0.4899105250960739
50,0.5733398987866464,0.48972287024087796
51,0.5730892888973473,0.4895328229456777
52,0.5728602710603028,0.4893588269948156
53,0.5726885901994403,0.48923089958905486
54,0.5724865675232254,0.4890775201345416
55,0.5722899750174557,0.4889283607132993
0,0.46958983602622223,0.40147369784712483
1,0.48189211179427194,0.41223087356279
2,0.49202947054271295,0.4210283470769952
3,0.49981457052179257,0.42773770567247127
4,0.5053925300829993,0.43250703790985406
5,0.5101717144737209,0.43658396699188123
6,0.5149720986828826,0.44064599718511943
7,0.5189403895810186,0.4439904926263979
8,0.5222895062439816,0.4468016194572608
9,0.5251899454858009,0.4492257700564738
10,0.5274942174409056,0.4511442817532776
11,0.5290975407987597,0.4524757701215961
12,0.5303611275464977,0.4535253919360264
13,0.5314198840189559,0.45440171582365513
